airtable_record_id,createdTime,Commitment,Contact (Title),Crunchbase URL,Exits (#),Investment Stage,Investments (#),Investor Type,Location,Organization/Person Name,Priority,Probability,Probably-Weighted Commitment,Source,State,Status,Target
rec0FauAYeEiAboqS,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/blumberg-capital,19,"[""Debt"", ""Early Stage Venture"", ""Late Stage Venture"", ""Seed""]",139,"[""Venture Capital""]","San Francisco, California, United States",Blumberg Capital,,0,0,,California,,
rec0KSWOxXhiYe8IZ,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/real-ventures,19,"[""Early Stage Venture"", ""Seed""]",149,"[""Micro VC"", ""Venture Capital""]","Montréal, Quebec, Canada",Real Ventures,,0,0,,Quebec,,
rec0P9qpvU20uNMKk,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/draper-nexus-ventures,10,"[""Early Stage Venture"", ""Seed""]",77,"[""Venture Capital""]","San Mateo, California, United States",Draper Nexus Ventures,,0,0,,California,,
rec0QLOy5UeHVHgTO,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/lehman-brothers,49,"[""Early Stage Venture"", ""Late Stage Venture""]",102,"[""Investment Bank""]","New York, New York, United States",Lehman Brothers,,0,0,,New York,,
rec0QWEs3CiAVo9bG,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/dag-ventures,75,"[""Debt"", ""Early Stage Venture"", ""Late Stage Venture"", ""Private Equity""]",238,"[""Venture Capital""]","Palo Alto, California, United States",DAG Ventures,,0,0,,California,,
rec0QbehThSE60CbF,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/riverpark-ventures,3,"[""Early Stage Venture""]",65,"[""Venture Capital""]","New York, New York, United States",RiverPark Ventures,,0,0,,New York,,
rec0dX1clqBYFDmTa,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/telus-ventures,18,"[""Early Stage Venture""]",100,"[""Corporate Venture Capital""]","Vancouver, British Columbia, Canada",TELUS Ventures,,0,0,,British Columbia,,
rec0e6C4xnwvnDLic,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/incubate-fund,6,"[""Early Stage Venture"", ""Seed""]",56,"[""Micro VC""]","Tokyo, Tokyo, Japan",Incubate Fund,,0,0,,Tokyo,,
rec0lusCKWybYqMyT,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/yunqi-partners,,"[""Early Stage Venture"", ""Seed""]",47,"[""Venture Capital""]","Shanghai, Shanghai, China",Yunqi Partners,,0,0,,Shanghai,,
rec0oVsaqGP5ctmhM,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/wayra,14,"[""Seed""]",953,"[""Accelerator""]","Madrid, Madrid, Spain",Wayra,,0,0,,Madrid,,
